image_path,label
generated_dataset/bundesliga/augsburg/augsburg-0.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-1.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-10.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-11.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-12.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-13.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-14.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-15.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-16.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-17.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-18.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-19.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-2.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-20.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-21.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-22.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-23.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-25.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-26.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-27.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-28.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-29.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-3.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-30.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-31.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-32.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-33.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-34.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-35.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-36.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-37.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-38.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-39.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-40.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-41.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-42.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-43.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-44.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-45.jpeg,augsburg
generated_dataset/bundesliga/augsburg/augsburg-46.jpeg,augsburg
